"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","doctor_recc_seasonal","chronic_med_condition","child_under_6_months","health_worker","health_insurance","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","opinion_seas_vacc_effective","opinion_seas_risk","opinion_seas_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","hhs_geo_region","census_msa","household_adults","household_children","employment_industry","employment_occupation","h1n1_vaccine","seasonal_vaccine"
"1",1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,1,2,2,1,2,"55-64","<12 Yrs","White","Female","Below Poverty","Not Married","Own","~Labor","A","Non",0,0,"","",FALSE,FALSE
"2",3,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,4,4,4,2,4,"35-44","12 Yrs","White","Male","Below Poverty","Not Married","Rent","Emp","B","Not Principle",0,0,"a","a",FALSE,TRUE
"8",1,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"1",5,2,1,4,2,1,"45-54","College","White","Female","<=75K","Married","Own","Emp","B","Non",2,0,"a","e",TRUE,TRUE
"10",2,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1",4,2,2,4,2,2,"55-64","12 Yrs","White","Male","<=75K","Not Married","Own","~Labor","C","Not Principle",0,0,"","",FALSE,FALSE
"11",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"0",4,1,2,5,4,4,"45-54","12 Yrs","White","Male","<=75K","Married","Rent","Emp","F","Not Principle",2,0,"e","g",TRUE,TRUE
"12",1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",3,2,2,4,2,1,"55-64","Grad","White","Male",">75K","Married","Own","Emp","A","Non",1,2,"e","f",TRUE,TRUE
"13",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",3,2,1,5,4,1,"65+","Grad","White","Male","<=75K","Married","Own","~Labor","F","Not Principle",1,0,"","",FALSE,TRUE
"15",3,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",5,4,2,4,4,2,"55-64","12 Yrs","White","Male","<=75K","Married","Own","~Labor","C","Not Principle",1,0,"","",FALSE,FALSE
"16",1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"1",4,2,2,2,1,1,"35-44","Grad","White","Female",">75K","Married","Own","Emp","F","Not Principle",1,3,"c","c",FALSE,FALSE
"17",2,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"1",3,2,1,4,4,1,"65+","12 Yrs","White","Female","<=75K","Married","","~Labor","A","Principle",0,0,"","",TRUE,TRUE
"18",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"0",2,2,4,4,2,1,"35-44","College","White","Female","<=75K","Not Married","Own","Emp","F","Not Principle",1,0,"b","b",FALSE,FALSE
"20",2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1",4,2,1,5,2,1,"55-64","College","Black","Female","<=75K","Married","Own","~Labor","F","Not Principle",1,0,"","",FALSE,FALSE
"22",2,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1",3,3,1,3,3,1,"55-64","College","White","Female",">75K","Not Married","Own","Emp","C","Not Principle",1,0,"f","i",FALSE,TRUE
"23",1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"1",4,2,2,4,1,2,"45-54","Grad","White","Female",">75K","Married","Own","Emp","G","Not Principle",2,1,"c","c",FALSE,FALSE
"24",3,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"0",5,5,4,4,4,4,"18-34","<12 Yrs","Black","Female","Below Poverty","Not Married","Rent","~Labor","F","Non",1,2,"","",FALSE,FALSE
