"","h1n1","seasonal"
"2","FALSE","TRUE"
"5","FALSE","FALSE"
"10","FALSE","FALSE"
"17","TRUE","TRUE"
"23","FALSE","FALSE"
"27","TRUE","TRUE"
"31","FALSE","FALSE"
"34","TRUE","FALSE"
"36","TRUE","TRUE"
"39","TRUE","TRUE"
"44","TRUE","TRUE"
"47","TRUE","TRUE"
"49","TRUE","TRUE"
"61","TRUE","TRUE"
"62","FALSE","TRUE"
"64","FALSE","TRUE"
"72","FALSE","TRUE"
"73","FALSE","TRUE"
"76","TRUE","TRUE"
"80","FALSE","TRUE"
"83","TRUE","TRUE"
"102","FALSE","TRUE"
"104","FALSE","FALSE"
"122","TRUE","FALSE"
"132","FALSE","TRUE"
"137","TRUE","TRUE"
"142","FALSE","FALSE"
"143","FALSE","FALSE"
"148","FALSE","TRUE"
"152","TRUE","TRUE"
"155","FALSE","FALSE"
"163","TRUE","FALSE"
"164","FALSE","FALSE"
"168","TRUE","TRUE"
"187","FALSE","FALSE"
"188","FALSE","FALSE"
"189","FALSE","FALSE"
"190","FALSE","TRUE"
"195","FALSE","FALSE"
"198","FALSE","FALSE"
"202","FALSE","FALSE"
"207","FALSE","FALSE"
"208","FALSE","TRUE"
"212","TRUE","TRUE"
"214","TRUE","TRUE"
"218","FALSE","FALSE"
"221","FALSE","FALSE"
"224","FALSE","TRUE"
"227","FALSE","TRUE"
"229","TRUE","TRUE"
"230","FALSE","TRUE"
"236","FALSE","TRUE"
"238","FALSE","FALSE"
"245","FALSE","TRUE"
"257","FALSE","FALSE"
"259","FALSE","FALSE"
"260","FALSE","FALSE"
"261","FALSE","FALSE"
"269","TRUE","TRUE"
"274","FALSE","FALSE"
"283","FALSE","FALSE"
"284","FALSE","TRUE"
"289","FALSE","TRUE"
"292","FALSE","FALSE"
"294","FALSE","FALSE"
"296","FALSE","TRUE"
"297","FALSE","FALSE"
"298","TRUE","TRUE"
"301","FALSE","TRUE"
"308","TRUE","TRUE"
"312","FALSE","TRUE"
"314","FALSE","FALSE"
"324","TRUE","TRUE"
"327","FALSE","FALSE"
"328","FALSE","TRUE"
"329","FALSE","FALSE"
"330","TRUE","TRUE"
"332","FALSE","FALSE"
"333","FALSE","FALSE"
"336","FALSE","TRUE"
"338","FALSE","FALSE"
"340","TRUE","TRUE"
"345","FALSE","TRUE"
"348","FALSE","FALSE"
"354","FALSE","TRUE"
"355","TRUE","TRUE"
"359","FALSE","FALSE"
"363","FALSE","TRUE"
"366","FALSE","TRUE"
"369","FALSE","TRUE"
"372","FALSE","TRUE"
"373","FALSE","FALSE"
"377","FALSE","FALSE"
"378","FALSE","FALSE"
"388","TRUE","TRUE"
"395","FALSE","FALSE"
"396","FALSE","TRUE"
"398","TRUE","TRUE"
"406","FALSE","FALSE"
"407","FALSE","FALSE"
"408","FALSE","FALSE"
"409","FALSE","TRUE"
"410","FALSE","TRUE"
"418","FALSE","FALSE"
"420","FALSE","TRUE"
"422","FALSE","FALSE"
"428","FALSE","TRUE"
"429","FALSE","FALSE"
"431","FALSE","FALSE"
"432","FALSE","TRUE"
"437","FALSE","FALSE"
"438","FALSE","TRUE"
"439","FALSE","FALSE"
"447","FALSE","TRUE"
"449","TRUE","FALSE"
"453","FALSE","FALSE"
"459","FALSE","TRUE"
"461","TRUE","TRUE"
"464","FALSE","TRUE"
"466","FALSE","FALSE"
"472","FALSE","TRUE"
"478","FALSE","TRUE"
"479","FALSE","FALSE"
"482","TRUE","TRUE"
"486","FALSE","FALSE"
"491","FALSE","FALSE"
"495","FALSE","TRUE"
"498","FALSE","FALSE"
"500","FALSE","FALSE"
"501","FALSE","FALSE"
"505","TRUE","TRUE"
"509","FALSE","TRUE"
"510","FALSE","FALSE"
"514","FALSE","TRUE"
"515","FALSE","FALSE"
"518","FALSE","TRUE"
"529","FALSE","FALSE"
"531","FALSE","FALSE"
"533","FALSE","TRUE"
"536","FALSE","FALSE"
"542","TRUE","TRUE"
"544","FALSE","FALSE"
"547","FALSE","TRUE"
"551","FALSE","FALSE"
"554","FALSE","FALSE"
"559","TRUE","TRUE"
"562","FALSE","FALSE"
"563","FALSE","FALSE"
"565","FALSE","FALSE"
"569","FALSE","TRUE"
"575","FALSE","FALSE"
"578","FALSE","TRUE"
"591","FALSE","TRUE"
"592","TRUE","TRUE"
"594","TRUE","FALSE"
"595","TRUE","TRUE"
