"","h1n1","seasonal"
"3396","FALSE","TRUE"
"23341","FALSE","FALSE"
"11607","FALSE","TRUE"
"2203","FALSE","TRUE"
"20667","TRUE","TRUE"
"16317","FALSE","FALSE"
"20491","FALSE","TRUE"
"389","TRUE","TRUE"
"14069","FALSE","FALSE"
"10058","FALSE","FALSE"
"5100","FALSE","FALSE"
"11317","FALSE","FALSE"
"24290","TRUE","FALSE"
"17282","FALSE","FALSE"
"19181","FALSE","TRUE"
"20403","FALSE","FALSE"
"4930","FALSE","FALSE"
"2511","FALSE","TRUE"
"9554","FALSE","FALSE"
"22390","FALSE","FALSE"
"5353","FALSE","FALSE"
"7064","FALSE","FALSE"
"11413","FALSE","FALSE"
"5259","FALSE","TRUE"
"18189","FALSE","FALSE"
"23959","TRUE","TRUE"
"23495","FALSE","TRUE"
"17892","FALSE","FALSE"
"4354","FALSE","FALSE"
"12581","FALSE","FALSE"
"5124","FALSE","FALSE"
"307","TRUE","TRUE"
"22977","TRUE","TRUE"
"15046","FALSE","FALSE"
"5431","FALSE","TRUE"
"12470","FALSE","FALSE"
"7046","FALSE","TRUE"
"5164","FALSE","FALSE"
"24053","FALSE","TRUE"
"23473","FALSE","FALSE"
"512","FALSE","TRUE"
"107","FALSE","FALSE"
"6043","TRUE","TRUE"
"933","FALSE","FALSE"
"1848","FALSE","FALSE"
"13651","FALSE","FALSE"
"25825","TRUE","TRUE"
"16077","FALSE","TRUE"
"6192","FALSE","TRUE"
"8197","TRUE","TRUE"
"24674","FALSE","TRUE"
"25199","FALSE","FALSE"
"24650","TRUE","TRUE"
"19571","FALSE","TRUE"
"4669","FALSE","FALSE"
"24725","FALSE","FALSE"
"24212","FALSE","FALSE"
"483","TRUE","FALSE"
"665","FALSE","TRUE"
"12738","FALSE","FALSE"
"21123","FALSE","FALSE"
"14345","FALSE","FALSE"
"15654","TRUE","TRUE"
"24805","FALSE","TRUE"
"11493","FALSE","FALSE"
"16893","FALSE","FALSE"
"1513","FALSE","FALSE"
"11525","FALSE","FALSE"
"7943","TRUE","TRUE"
"24759","FALSE","FALSE"
"22056","TRUE","TRUE"
"9937","TRUE","FALSE"
"7731","FALSE","FALSE"
"12558","FALSE","FALSE"
"14135","FALSE","FALSE"
"13817","TRUE","TRUE"
"20258","TRUE","TRUE"
"21374","FALSE","FALSE"
"4062","FALSE","FALSE"
"15122","FALSE","TRUE"
"1008","FALSE","FALSE"
"28","FALSE","FALSE"
"1713","FALSE","FALSE"
"21944","FALSE","TRUE"
"20546","TRUE","TRUE"
"3552","FALSE","TRUE"
"1126","FALSE","FALSE"
"19954","FALSE","FALSE"
"16164","FALSE","FALSE"
"19201","TRUE","TRUE"
"6852","FALSE","FALSE"
"16308","TRUE","TRUE"
"24236","FALSE","FALSE"
"5497","FALSE","FALSE"
"17530","FALSE","FALSE"
"26046","FALSE","TRUE"
"18821","FALSE","TRUE"
"9650","FALSE","FALSE"
"26","FALSE","FALSE"
"4212","FALSE","FALSE"
"19085","TRUE","FALSE"
"25596","FALSE","TRUE"
"16148","FALSE","FALSE"
"7471","FALSE","FALSE"
"9563","FALSE","FALSE"
"24069","FALSE","FALSE"
"12354","FALSE","FALSE"
"18107","FALSE","FALSE"
"3382","FALSE","FALSE"
"21689","TRUE","TRUE"
"11958","FALSE","TRUE"
"3522","TRUE","TRUE"
"25518","TRUE","TRUE"
"8421","TRUE","FALSE"
"23958","FALSE","TRUE"
"4548","TRUE","TRUE"
"94","FALSE","TRUE"
"17443","FALSE","TRUE"
"25874","FALSE","FALSE"
"25746","FALSE","FALSE"
"2895","FALSE","FALSE"
"11235","FALSE","FALSE"
"5754","FALSE","FALSE"
"2621","FALSE","TRUE"
"26044","TRUE","TRUE"
"26463","FALSE","TRUE"
"14659","TRUE","TRUE"
"16640","FALSE","FALSE"
"5887","FALSE","FALSE"
"15384","FALSE","FALSE"
"15645","FALSE","FALSE"
"1833","FALSE","FALSE"
"10648","FALSE","TRUE"
"10681","FALSE","TRUE"
"5795","FALSE","FALSE"
"1864","FALSE","FALSE"
"9912","FALSE","TRUE"
"22875","FALSE","FALSE"
"6234","FALSE","FALSE"
"20980","FALSE","FALSE"
"18056","FALSE","FALSE"
"26261","FALSE","FALSE"
"21444","FALSE","FALSE"
"7592","FALSE","TRUE"
"14851","TRUE","TRUE"
"553","FALSE","FALSE"
"12748","FALSE","FALSE"
"4805","FALSE","FALSE"
"13181","FALSE","FALSE"
"17432","FALSE","FALSE"
"5441","FALSE","TRUE"
"1903","FALSE","FALSE"
"18452","FALSE","TRUE"
"23570","FALSE","TRUE"
"4563","TRUE","TRUE"
"19454","TRUE","TRUE"
"21213","FALSE","TRUE"
"13416","TRUE","TRUE"
"25724","TRUE","TRUE"
"18993","FALSE","TRUE"
"2957","FALSE","FALSE"
"747","FALSE","FALSE"
"19111","FALSE","FALSE"
"20797","FALSE","TRUE"
"25603","FALSE","FALSE"
"24138","FALSE","TRUE"
"817","FALSE","FALSE"
"15615","FALSE","FALSE"
"15192","TRUE","FALSE"
"20527","TRUE","TRUE"
"871","TRUE","TRUE"
"8303","FALSE","TRUE"
"18756","FALSE","FALSE"
"18271","FALSE","FALSE"
"8334","FALSE","FALSE"
"25873","FALSE","FALSE"
"16834","FALSE","FALSE"
"24829","FALSE","FALSE"
"3108","FALSE","TRUE"
"22172","FALSE","TRUE"
"8526","FALSE","FALSE"
"25176","FALSE","TRUE"
"12388","FALSE","FALSE"
"6188","FALSE","TRUE"
"10071","FALSE","TRUE"
"1481","FALSE","TRUE"
"24259","FALSE","TRUE"
"7142","FALSE","TRUE"
"23557","FALSE","FALSE"
"22438","FALSE","FALSE"
"25971","FALSE","FALSE"
"9602","FALSE","FALSE"
"8381","FALSE","TRUE"
"19563","FALSE","FALSE"
"18007","FALSE","FALSE"
"12977","FALSE","FALSE"
"11129","TRUE","TRUE"
"23424","TRUE","TRUE"
"2821","FALSE","TRUE"
"7836","TRUE","FALSE"
"2536","TRUE","TRUE"
"1947","TRUE","TRUE"
"126","FALSE","TRUE"
"12075","FALSE","TRUE"
"23523","FALSE","TRUE"
"1206","FALSE","FALSE"
"3482","TRUE","TRUE"
"21494","FALSE","FALSE"
"4592","FALSE","TRUE"
"18384","FALSE","FALSE"
"293","FALSE","TRUE"
"20450","FALSE","TRUE"
"19817","TRUE","TRUE"
"18500","TRUE","TRUE"
"10393","FALSE","FALSE"
"10266","FALSE","TRUE"
"14097","TRUE","TRUE"
"16372","FALSE","FALSE"
"4276","FALSE","FALSE"
"6962","TRUE","FALSE"
"9422","FALSE","FALSE"
"2470","FALSE","TRUE"
"6372","FALSE","TRUE"
"13489","TRUE","TRUE"
"12586","FALSE","FALSE"
"3239","FALSE","FALSE"
"1235","FALSE","TRUE"
"10283","FALSE","FALSE"
"18298","FALSE","FALSE"
"9945","FALSE","FALSE"
"21163","FALSE","FALSE"
"22317","FALSE","FALSE"
"24682","FALSE","TRUE"
"56","FALSE","FALSE"
"13599","FALSE","TRUE"
"8560","TRUE","TRUE"
"5826","FALSE","FALSE"
"701","TRUE","TRUE"
"23287","FALSE","TRUE"
"15674","FALSE","TRUE"
"7413","FALSE","TRUE"
"24566","FALSE","TRUE"
"52","FALSE","TRUE"
"2404","FALSE","FALSE"
"25720","FALSE","TRUE"
"4895","FALSE","FALSE"
"19260","TRUE","TRUE"
"22488","FALSE","FALSE"
"12348","FALSE","FALSE"
"22248","FALSE","FALSE"
"5518","FALSE","FALSE"
"22520","FALSE","TRUE"
"19101","FALSE","FALSE"
"5313","FALSE","TRUE"
"25505","FALSE","FALSE"
"23738","FALSE","TRUE"
"20898","TRUE","FALSE"
"10172","FALSE","TRUE"
"9370","FALSE","TRUE"
"4412","FALSE","TRUE"
"8228","FALSE","TRUE"
"16197","FALSE","FALSE"
"25654","FALSE","FALSE"
"12069","FALSE","TRUE"
"4614","FALSE","FALSE"
"13436","FALSE","FALSE"
"12959","FALSE","FALSE"
"14433","FALSE","FALSE"
"16315","TRUE","TRUE"
"6164","FALSE","TRUE"
"20247","FALSE","FALSE"
"7126","FALSE","FALSE"
"16465","FALSE","FALSE"
"6346","FALSE","FALSE"
"16703","FALSE","FALSE"
"11276","FALSE","TRUE"
"17750","FALSE","FALSE"
"5669","TRUE","TRUE"
"9226","FALSE","FALSE"
"21038","FALSE","TRUE"
"7390","FALSE","FALSE"
"22127","FALSE","FALSE"
"20094","FALSE","FALSE"
"20424","FALSE","FALSE"
"11012","FALSE","TRUE"
"1415","FALSE","FALSE"
"6421","FALSE","FALSE"
"18176","FALSE","FALSE"
"18087","FALSE","TRUE"
"4318","FALSE","TRUE"
"18071","FALSE","FALSE"
"12710","TRUE","TRUE"
"22415","FALSE","FALSE"
"24685","FALSE","FALSE"
"21072","FALSE","TRUE"
"1898","FALSE","FALSE"
"12921","FALSE","FALSE"
"19377","FALSE","FALSE"
"995","FALSE","TRUE"
"19735","FALSE","FALSE"
"8388","FALSE","TRUE"
"16667","TRUE","FALSE"
"19594","FALSE","FALSE"
"12805","TRUE","TRUE"
"23836","FALSE","FALSE"
"10248","TRUE","TRUE"
"25106","FALSE","FALSE"
"16970","FALSE","FALSE"
"16360","FALSE","TRUE"
"19610","FALSE","FALSE"
"19075","FALSE","FALSE"
"12606","FALSE","FALSE"
"2381","TRUE","TRUE"
"11986","TRUE","TRUE"
"14094","FALSE","FALSE"
"1519","FALSE","TRUE"
"23673","FALSE","TRUE"
"23705","FALSE","FALSE"
"19486","FALSE","FALSE"
"18645","FALSE","FALSE"
"24015","FALSE","FALSE"
"21479","FALSE","FALSE"
"11543","FALSE","FALSE"
"18563","FALSE","TRUE"
"19350","TRUE","TRUE"
"4629","FALSE","FALSE"
"18356","TRUE","TRUE"
"4765","FALSE","TRUE"
"2785","FALSE","FALSE"
